,Время,Сумма
304,01.05.2019,617377.62
305,02.05.2019,470358.21
306,03.05.2019,489393.12
307,04.05.2019,428853.72
308,05.05.2019,377012.4
309,06.05.2019,348166.24
310,07.05.2019,392140.45
311,08.05.2019,548482.9
312,09.05.2019,547562.36
313,10.05.2019,518277.7
314,11.05.2019,442958.16
315,12.05.2019,340936.35
316,13.05.2019,392221.71
317,14.05.2019,397742.08
318,15.05.2019,329607.99
319,16.05.2019,396020.54
320,17.05.2019,570460.17
321,18.05.2019,536888.53
322,19.05.2019,367200.42
323,20.05.2019,365989.17
324,21.05.2019,384726.12
325,22.05.2019,385325.67
326,23.05.2019,382908.96
327,24.05.2019,520423.81
328,25.05.2019,541810.01
329,26.05.2019,372400.26
330,27.05.2019,376289.97
331,28.05.2019,353810.79
332,29.05.2019,330776.71
333,30.05.2019,383841.34
334,31.05.2019,547724.9
335,01.06.2019,405057.97
336,02.06.2019,404344.23
337,03.06.2019,376938.12
338,04.06.2019,374001.66
339,05.06.2019,441635.73
340,06.06.2019,462652.04
341,07.06.2019,721256.08
342,08.06.2019,639827.97
343,09.06.2019,428642.03
344,10.06.2019,473583.23
345,11.06.2019,476542.27
346,12.06.2019,446034.47
347,13.06.2019,448270.21
348,14.06.2019,510302.12
349,15.06.2019,562689.47
350,16.06.2019,446338.32
351,17.06.2019,375481.73
352,18.06.2019,444203.08
353,19.06.2019,426966.49
354,20.06.2019,453349.78
355,21.06.2019,603171.45
356,22.06.2019,579614.48
357,23.06.2019,399109.63
358,24.06.2019,403700.77
359,25.06.2019,411795.72
360,26.06.2019,414131.51
361,27.06.2019,339100.24
362,28.06.2019,581693.16
363,29.06.2019,525444.67
364,30.06.2019,434792.93
365,01.07.2019,406750.61
366,02.07.2019,420226.99
367,03.07.2019,361741.49
368,04.07.2019,438463.49
369,05.07.2019,524691.29
370,06.07.2019,551800.68
371,07.07.2019,430557.04
372,08.07.2019,432216.77
373,09.07.2019,418214.44
374,10.07.2019,447107.49
375,11.07.2019,437994.34
376,12.07.2019,512047.56
377,13.07.2019,564585.3
378,14.07.2019,467802.1
379,15.07.2019,397267.71
380,16.07.2019,455807.88
381,17.07.2019,459291.39
382,18.07.2019,446276.47
383,19.07.2019,486051.72
384,20.07.2019,573596.4
385,21.07.2019,463120.89
386,22.07.2019,460038.22
387,23.07.2019,447515.86
388,24.07.2019,445151.43
389,25.07.2019,469490.36
390,26.07.2019,634729.42
391,27.07.2019,729583.93
392,28.07.2019,502105.17
393,29.07.2019,416497.64
394,30.07.2019,450796.83
395,31.07.2019,393193.79
396,01.08.2019,434565.28
397,02.08.2019,538292.66
398,03.08.2019,490953.8
399,04.08.2019,407986.2
400,05.08.2019,408732.48
401,06.08.2019,435505.91
402,07.08.2019,417572.27
403,08.08.2019,451855.97
404,09.08.2019,524005.31
405,10.08.2019,554578.55
406,11.08.2019,442487.26
407,12.08.2019,421083.11
408,13.08.2019,406921.38
409,14.08.2019,408790.57
410,15.08.2019,405081.58
411,16.08.2019,593624.79
412,17.08.2019,481426.51
413,18.08.2019,473469.9
414,19.08.2019,443185.94
415,20.08.2019,414183.84
416,21.08.2019,386700.47
417,22.08.2019,382715.16
418,23.08.2019,513668.36
419,24.08.2019,484355.92
420,25.08.2019,363792.02
421,26.08.2019,348117.15
422,27.08.2019,395057.41
423,28.08.2019,405998.09
424,29.08.2019,437966.97
425,30.08.2019,467400.05
426,31.08.2019,518088.89
427,01.09.2019,299243.03
428,02.09.2019,359081.0
429,03.09.2019,356526.42
430,04.09.2019,340724.78
431,05.09.2019,395153.24
432,06.09.2019,485770.91
433,07.09.2019,497537.9
434,08.09.2019,347867.1
435,09.09.2019,345345.5
436,10.09.2019,415747.28
437,11.09.2019,349644.56
438,12.09.2019,376468.06
439,13.09.2019,486738.48
440,14.09.2019,433395.42
441,15.09.2019,318663.51
442,16.09.2019,329848.99
443,17.09.2019,348159.81
444,18.09.2019,322962.16
445,19.09.2019,313092.24
446,20.09.2019,427243.72
447,21.09.2019,417144.24
448,22.09.2019,313438.53
449,23.09.2019,302480.83
450,24.09.2019,323848.12
451,25.09.2019,335743.76
452,26.09.2019,346874.55
453,27.09.2019,416102.11
454,28.09.2019,406014.26
455,29.09.2019,285557.76
456,30.09.2019,313093.75
457,01.10.2019,306008.49
458,02.10.2019,290413.58
459,03.10.2019,346423.92
460,04.10.2019,400440.27
461,05.10.2019,401514.5
462,06.10.2019,265696.8
463,07.10.2019,287772.25
464,08.10.2019,296254.84
465,09.10.2019,314612.88
466,10.10.2019,339257.62
467,11.10.2019,383703.92
468,12.10.2019,396441.01
469,13.10.2019,283018.75
