DATE,value
01/08/2001,134.7753
01/09/2001,128.6196
01/10/2001,115.1136
01/11/2001,105.0913
01/12/2001,104.6018
01/01/2002,120.9601
01/02/2002,143.6813
01/03/2002,155.2061
01/04/2002,169.2145
01/05/2002,165.2011
01/06/2002,188.8447
01/07/2002,173.2341
01/08/2002,163.2352
01/09/2002,150.6134
01/10/2002,136.7560
01/11/2002,114.5562
01/12/2002,105.6179
01/01/2003,125.2497
01/02/2003,142.3906
01/03/2003,144.6613
01/04/2003,151.4035
01/05/2003,147.3393
01/06/2003,162.8491
01/07/2003,146.1043
01/08/2003,141.1325
01/09/2003,126.7308
01/10/2003,115.8376
01/11/2003,106.6816
01/12/2003,93.5263
01/01/2004,104.1156
01/02/2004,126.0228
01/03/2004,140.4459
01/04/2004,148.6412
01/05/2004,150.4552
01/06/2004,169.0362
01/07/2004,157.2643
01/08/2004,153.5255
01/09/2004,144.4268
01/10/2004,139.5258
01/11/2004,120.5195
01/12/2004,111.2821
01/01/2005,130.2719
01/02/2005,148.1976
01/03/2005,159.2750
01/04/2005,171.8314
01/05/2005,169.9522
01/06/2005,196.1737
01/07/2005,190.2501
01/08/2005,179.2849
01/09/2005,153.7389
01/10/2005,144.2127
01/11/2005,122.2164
01/12/2005,106.9509
01/01/2006,130.8295
01/02/2006,144.3001
01/03/2006,156.3691
01/04/2006,167.7272
01/05/2006,159.9362
01/06/2006,182.6261
01/07/2006,176.0375
01/08/2006,164.2845
01/09/2006,146.4184
01/10/2006,127.9182
01/11/2006,111.0826
01/12/2006,102.3068
01/01/2007,126.2649
01/02/2007,139.0987
01/03/2007,153.0866
01/04/2007,169.9811
01/05/2007,167.3083
01/06/2007,180.0874
01/07/2007,167.2158
01/08/2007,149.2237
01/09/2007,141.9697
01/10/2007,126.3227
01/11/2007,104.0224
01/12/2007,99.4948
01/01/2008,107.9956
01/02/2008,124.8185
01/03/2008,139.8023
01/04/2008,141.8197
01/05/2008,143.6774
01/06/2008,169.4044
01/07/2008,145.0205
01/08/2008,139.7905
01/09/2008,124.0207
01/10/2008,108.9576
01/11/2008,102.4460
01/12/2008,83.7946
01/01/2009,94.1914
01/02/2009,115.2161
01/03/2009,129.6325
01/04/2009,133.0755
01/05/2009,137.9925
01/06/2009,150.3558
01/07/2009,134.4829
01/08/2009,132.5304
01/09/2009,119.4439
01/10/2009,106.7741
01/11/2009,87.8541
01/12/2009,77.7939
01/01/2010,91.2895
01/02/2010,110.4994
01/03/2010,127.0971
01/04/2010,132.6468
01/05/2010,134.5576
01/06/2010,143.9519
01/07/2010,128.8566
01/08/2010,125.5563
