iter	Passed	Remaining
213	417	1533
214	419	1530
215	420	1527
216	422	1525
217	425	1524
218	426	1522
219	428	1520
220	430	1518
221	432	1516
222	434	1513
223	436	1511
224	438	1509
225	440	1507
226	442	1505
227	444	1504
228	446	1502
229	448	1499
230	449	1497
231	451	1494
232	453	1492
233	455	1491
234	457	1489
235	459	1487
236	461	1484
237	463	1482
238	464	1480
239	466	1477
240	468	1474
241	470	1472
242	472	1470
243	474	1469
244	476	1467
245	478	1465
246	479	1462
247	481	1460
248	483	1457
249	485	1455
250	487	1453
251	488	1451
252	490	1448
253	492	1446
254	494	1443
255	495	1440
256	497	1438
257	499	1435
258	501	1433
259	502	1431
260	504	1429
261	506	1426
262	508	1424
263	510	1422
264	511	1419
265	513	1417
266	515	1414
267	517	1413
268	519	1410
269	521	1408
270	522	1406
271	524	1405
272	526	1402
273	528	1400
274	530	1398
275	532	1396
276	534	1394
277	536	1392
278	538	1390
279	540	1388
280	541	1386
281	543	1384
282	545	1382
283	547	1380
284	549	1378
285	551	1376
286	553	1374
287	555	1372
288	557	1370
289	558	1368
290	560	1365
291	562	1363
292	564	1361
293	566	1359
294	568	1357
295	570	1355
296	572	1353
297	573	1351
298	575	1349
299	577	1347
300	579	1345
301	581	1342
302	583	1341
303	584	1339
304	586	1337
305	588	1335
306	590	1332
307	592	1330
308	594	1328
309	596	1326
310	598	1324
311	600	1323
312	601	1321
313	603	1319
314	605	1317
315	607	1314
316	609	1312
317	611	1310
318	613	1309
319	615	1307
320	617	1305
321	619	1303
322	620	1301
323	622	1299
324	624	1297
325	627	1296
326	629	1294
327	631	1293
328	633	1291
329	635	1290
330	637	1288
331	639	1286
332	641	1284
333	643	1282
334	645	1280
335	646	1278
336	648	1276
337	650	1274
338	652	1272
339	654	1270
340	656	1268
341	658	1266
342	660	1264
343	662	1262
344	663	1260
345	666	1258
346	667	1256
347	669	1254
348	671	1252
349	673	1250
350	675	1248
351	677	1246
352	678	1244
353	681	1242
354	682	1240
355	684	1238
356	686	1237
357	688	1234
358	690	1232
359	692	1230
360	693	1228
361	695	1226
362	697	1224
363	699	1222
364	701	1220
365	703	1218
366	705	1216
367	707	1214
368	708	1212
369	710	1209
370	712	1207
371	714	1206
372	716	1204
373	718	1202
374	720	1200
375	722	1198
376	724	1196
377	726	1195
378	728	1193
379	730	1191
380	732	1190
381	734	1188
382	736	1186
383	738	1184
384	740	1182
385	742	1180
386	744	1179
387	746	1177
388	748	1176
389	750	1174
390	752	1172
391	754	1170
392	756	1168
393	758	1166
394	760	1164
395	762	1162
396	764	1160
397	766	1159
398	768	1157
399	770	1155
400	771	1152
401	774	1151
402	775	1149
403	777	1147
404	779	1145
405	781	1143
406	783	1141
407	785	1139
408	787	1137
409	788	1135
410	790	1133
411	792	1131
412	794	1129
413	796	1127
414	798	1125
415	800	1124
416	802	1121
417	804	1119
418	806	1118
419	808	1116
420	811	1115
421	812	1113
422	814	1111
423	816	1109
424	818	1107
425	820	1105
426	822	1103
427	823	1101
428	826	1099
429	828	1097
430	830	1096
431	832	1093
432	833	1091
433	835	1089
434	837	1087
435	839	1085
436	841	1084
437	843	1082
438	845	1080
439	847	1078
440	849	1076
441	851	1074
442	852	1072
443	854	1070
444	856	1068
445	858	1066
446	860	1064
447	862	1062
448	864	1060
449	866	1058
450	867	1056
451	869	1054
452	871	1052
453	873	1050
454	875	1048
